Date,Hillside OAT [F],Main Meter [kW],Boiler Gas [kBtu/hr]
5/1/2012 0:00,45.67,108.52,477.31
5/1/2012 1:00,,111.86,597.66
5/1/2012 2:00,,113.87,630.03
5/1/2012 3:00,,,654.75
5/1/2012 4:00,,139.99,936.52
5/1/2012 5:00,47.91,145.86,1259.27
5/1/2012 6:00,48.23,153.62,1423.25
5/1/2012 7:00,48.45,167.61,1438.42
5/1/2012 8:00,49.47,187.12,
5/1/2012 9:00,50.78,204.19,888.61
5/1/2012 10:00,50.7,210.71,679.14
5/1/2012 11:00,52.36,213.18,654.53
5/1/2012 12:00,58.88,214.55,
5/1/2012 13:00,,216.07,608.63
5/1/2012 14:00,,217.32,508.34
5/1/2012 15:00,,214.69,478.21
5/1/2012 16:00,,206.4,431.11
5/1/2012 17:00,,184.41,375.11
5/1/2012 18:00,51.38,135.08,
5/1/2012 19:00,49.93,119.2,220.64
5/1/2012 20:00,49.43,110.47,300.83
5/1/2012 21:00,49.3,110.52,
5/1/2012 22:00,49.36,109.72,424
5/1/2012 23:00,49.09,107.59,458.43
