sensor_type	sensor_name	data_type	unit_type	Minimum	Maximum
OutdoorAirTemperature	OutdoorAirTemperature	float	temperature		
OutdoorAirRelativeHumidity	OutdoorAirRelativeHumidity	float	dimensionless		
MixedAirTemperature	MixedAirTemperature	float	temperature		
MixedAirRelativeHumidity	MixedAirRelativeHumidity	float	dimensionless		
ReturnAirTemperature	ReturnAirTemperature	float	temperature		
ReturnAirRelativeHumidity	ReturnAirRelativeHumidity	float	dimensionless		
DischargeAirTemperature	DischargeAirTemperature	float	temperature		
DischargeAirRelativeHumidity	DischargeAirRelativeHumidity	float	dimensionless		
FirstStageCooling	FirstStageCooling	boolean	dimensionless	0	1
SecondStageCooling	SecondStageCooling	boolean	temperature		
FirstStageHeating	FirstStageHeating	boolean	temperature		
SecondStageHeating	SecondStageHeating	boolean	temperature		
TotalPower	TotalPower	float	energy		
SupplyFanPower	SupplyFanPower	float	energy		
CondenserFanPower	CondenserFanPower	float	energy		
OutdoorDamperSignal	OutdoorDamperSignal	float	dimensionless		
EconomizerMode	EconomizerMode	boolean	dimensionless	0	1
OccupancyMode	OccupancyMode	boolean	dimensionless	0	1
ZoneSetpoint	ZoneSetpoint	float	temperature		
ZoneTemperature	ZoneTemperature	float	temperature		
SupplyFanSpeed	SupplyFanSpeed	float	dimensionless	0	100
